Component,File Path,Type,Layer,Responsibility,Dependencies,Side Effects,Boundary Type,Related Tests,Notes
consciousness_monitor_db_v2.py,scripts/consciousness_monitor_db_v2.py,script,monitoring,Monitor with database mode selection,"EnhancedConsciousnessMonitor, argparse","File (CSV read), DB (write), UI (terminal)",CLI Entry Point,,--db-only mode
detection_rules.json,consciousness_monitor/config/detection_rules.json,json,config,Consciousness state detection patterns,None,None,Configuration Data,,~250 rules; ~1000 lines
sub_states.json,consciousness_monitor/config/sub_states.json,json,config,Hierarchical sub-state definitions,None,None,Configuration Data,,~150 rules; ~400 lines
artifact_thresholds.json,consciousness_monitor/config/artifact_thresholds.json,json,config,Artifact detection thresholds,None,None,Configuration Data,,~10 thresholds; ~50 lines
konrad_personalized.json,consciousness_monitor/config/konrad_personalized.json,json,config,Konrad's custom detection rules,None,None,Configuration Data,,~60 lines; personalized patterns
init.sql,sql/init.sql,sql,database,Database schema (tables/hypertables/indexes),None,None,Data Contract,,eeg_window; detection; state_definition; session tables
compose.yml,docker/compose.yml,yaml,infra,TimescaleDB database container,docker,None,Infrastructure,,Port 5590 exposed
docker-compose.osc.yml,docker/docker-compose.osc.yml,yaml,infra,OSC receiver container,docker,Network (port 5000),Infrastructure,,Mind Monitor target
create_session.py,tools/create_session.py,script,tools,Create DB session,psycopg2,DB (INSERT),Tool Script,,
import_ls_annotations.py,tools/import_ls_annotations.py,script,tools,Import Label Studio annotations,psycopg2,DB (INSERT),Tool Script,,
gzip_and_register.py,tools/gzip_and_register.py,script,tools,Compress and register files,gzip; psycopg2,"File (gzip), DB (INSERT)",Tool Script,,
tail_import.py,tools/tail_import.py,script,tools,Import recent data,psycopg2,"File (read), DB (INSERT)",Tool Script,,
export_downsample.py,tools/export_downsample.py,script,tools,Export downsampled data,psycopg2,File (write),Tool Script,,
verify_ingestion.py,tools/verify_ingestion.py,script,tools,Verify data ingestion,psycopg2,DB (query),Tool Script,,
historical_import.py,tools/historical_import.py,script,tools,Batch historical import,psycopg2,"File (read), DB (INSERT)",Tool Script,,
test_therapeutic_patterns.py,tests/test_therapeutic_patterns.py,test,tests,Test therapeutic state patterns,pytest; consciousness_monitor,None,Test,,All therapeutic patterns
test_enhanced_monitor.py,tests/test_enhanced_monitor.py,test,tests,Test main orchestrator integration,pytest; consciousness_monitor,None,Test,,EnhancedConsciousnessMonitor
test_refactored_monitor.py,tests/test_refactored_monitor.py,test,tests,Test modular architecture,pytest; consciousness_monitor,None,Test,,
test_mindmonitor_approach.py,tests/test_mindmonitor_approach.py,test,tests,Test Mind Monitor format parsing,pytest; consciousness_monitor,None,Test,,Format detection
test_signal_processing.py,tests/test_signal_processing.py,test,tests,Test FFT and filtering,pytest; consciousness_monitor,None,Test,,SignalProcessor
test_flow_detection.py,tests/test_flow_detection.py,test,tests,Test flow state sub-states,pytest; consciousness_monitor,None,Test,,
test_excitement_detection.py,tests/test_excitement_detection.py,test,tests,Test excitement vs anxiety,pytest; consciousness_monitor,None,Test,,
test_contact_analysis.py,tests/test_contact_analysis.py,test,tests,Test sensor contact quality,pytest; consciousness_monitor,None,Test,,
test_motion_analysis.py,tests/test_motion_analysis.py,test,tests,Test motion artifact detection,pytest; consciousness_monitor,None,Test,,
test_band_power_validation.py,tests/test_band_power_validation.py,test,tests,Test band power calculations,pytest; consciousness_monitor,None,Test,,
test_sample_rate_analysis.py,tests/test_sample_rate_analysis.py,test,tests,Test sample rate detection,pytest; consciousness_monitor,None,Test,,
test_corrected_sample_rate.py,tests/test_corrected_sample_rate.py,test,tests,Test sample rate correction,pytest; consciousness_monitor,None,Test,,
test_meditation_validation.py,tests/test_meditation_validation.py,test,tests,Test meditation pattern validation,pytest; consciousness_monitor,None,Test,,
test_cycle_integration.py,tests/test_cycle_integration.py,test,tests,Test state cycle integration,pytest; consciousness_monitor,None,Test,,
test_enhanced_features.py,tests/test_enhanced_features.py,test,tests,Test enhanced feature detection,pytest; consciousness_monitor,None,Test,,
test_force_output.py,tests/test_force_output.py,test,tests,Test display output filtering,pytest; consciousness_monitor,None,Test,,
test_interval_logic.py,tests/test_interval_logic.py,test,tests,Test output interval timing,pytest; consciousness_monitor,None,Test,,
test_monitor_output.py,tests/test_monitor_output.py,test,tests,Test monitor output formatting,pytest; consciousness_monitor,None,Test,,
test_spectral_features.py,consciousness_monitor/tests/test_spectral_features.py,test,tests,Test spectral entropy,pytest,None,Test,,Package-level tests
test_gamma_detection.py,consciousness_monitor/tests/test_gamma_detection.py,test,tests,Test gamma spike detection,pytest,None,Test,,Package-level tests
test_coherence_analysis.py,consciousness_monitor/tests/test_coherence_analysis.py,test,tests,Test inter-channel coherence,pytest,None,Test,,Package-level tests
